# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6-beta3

adiamond.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
offeore.-beardedcocaire, long, 0000000000000000
offeore.-blinkandurdead0, long, 0000000000000000
offeore.-charahc, long, 0000000000000000
offeore.-cooljayice, long, 0000000000000000
offeore.-crazymexican938, long, 0000000000000000
offeore.-dazed6977, long, 0000000000000000
offeore.-deathnerd77, long, 0000000000000000
offeore.-earthymama42, long, 0000000000000000
offeore.-gryffydd89, long, 0000000000000000
offeore.-hotashml, long, 0000000000000000
offeore.-iamfriendbesto, long, 0000000000000000
offeore.-ikkaku420235, long, 0000000000000000
offeore.-kenpachi4202357, long, 0000000000000000
offeore.-lenr0c86, long, 0000000000000000
offeore.-lily_riley_roxi, long, 0000000000000000
offeore.-lowerlevelll, long, 0000000000000000
offeore.-mc0oz, long, 0000000000000000
offeore.-miarkraim, long, 0000000000000000
offeore.-mrbrink53, long, 0000000000000000
offeore.-mrsshmeethumb, long, 0000000000000000
offeore.-mrzpriceless73, long, 0000000000000000
offeore.-natiri607, long, 0000000000000000
offeore.-netherkicks, long, 0000000000000000
offeore.-nixragnarson, long, 0000000000000000
offeore.-noobe_doobe6363, long, 0000000000000000
offeore.-ogloc_bruh, long, 0000000000000000
offeore.-parrotgirl4333, long, 0000000000000000
offeore.-pnnicolas, long, 0000000000000000
offeore.-rainbowowl88378, long, 0000000000000000
offeore.-sfn2048, long, 0000000000000000
offeore.-shadowgiver902, long, 0000000000000000
offeore.-shmeethumb, long, 0000000000000000
offeore.-shyp4nd4, long, 0000000000000000
offeore.-sierralovesyou2, long, 0000000000000000
offeore.-stabaho187, long, 0000000000000000
offeore.-steverm9403, long, 0000000000000000
offeore.-stillnym1988517, long, 0000000000000000
offeore.-turningcupid, long, 0000000000000000
offeore.-vampires_heart6, long, 0000000000000000
offeore.-vcloutphobia, long, 0000000000000000
offeore.-wildernesboy, long, 0000000000000000
offeore.-xxtroy90xx, long, 0000000000000000
offeore._simplysav, long, 0000000000000000
offeore.alexzaza, long, 0000000000000000
offeore.amin_nasir91, long, 0000000000000000
offeore.athwee, long, 0000000000000000
offeore.bigbeast89, long, 0000000000000000
offeore.biglittleben, long, 0000000000000000
offeore.black00widow, long, 0000000000000000
offeore.blackcats96, long, 0000000000000000
offeore.boopydoopy2350, long, 0000000000000000
offeore.certizz, long, 0000000000000000
offeore.doddy06, long, 0000000000000000
offeore.ecgredneck, long, 0000000000000000
offeore.eclipsemc420, long, 0000000000000000
offeore.find_wicked, long, 0000000000000000
offeore.gamingzation, long, 0000000000000000
offeore.haile160, long, 0000000000000000
offeore.hathorill, long, 0000000000000000
offeore.johnheikens, long, 0000000000000000
offeore.kingkaitertot, long, 0000000000000000
offeore.laizer101, long, 0000000000000000
offeore.maddogselite1, long, 0000000000000000
offeore.monaxide, long, 0000000000000000
offeore.mr_matthews, long, 0000000000000000
offeore.mrzpricey73, long, 0000000000000000
offeore.mun_cheez, long, 0000000000000000
offeore.muribaka89, long, 0000000000000000
offeore.papi_grande2214, long, 0000000000000000
offeore.radmobilegaming, long, 0000000000000000
offeore.rageofheaven, long, 0000000000000000
offeore.shadowy__duckie, long, 0000000000000000
offeore.spenceronline, long, 0000000000000000
offeore.squishiedragon, long, 0000000000000000
offeore.stabaho187, long, 0000000000000000
offeore.swagdaddy278, long, 0000000000000000
offeore.t0iiialuminati, long, 0000000000000000
offeore.turtleduck840, long, 0000000000000000
offeore.turtlegaming840, long, 0000000000000000
offeore.tyler882d1, long, 0000000000000000
offeore.xxtroy_90xx, long, 0000000000000000
offeore.yeetthedirtblok, long, 0000000000000000
offgore::-ikkaku420235, long, 0000000000000000
offgore::-stabaho187, long, 0000000000000000
offgore::-turningcupid, long, 0000000000000000
offgore::black00widow, long, 0000000000000000
offgore::blackcats96, long, 0000000000000000
offgore::boopydoopy2350, long, 0000000000000000
offgore::kingkaitertot, long, 0000000000000000
offgore::muribaka89, long, 0000000000000000
offgore::papi_grande2214, long, 0000000000000000
offgore::radmobilegaming, long, 0000000000000000
offgore::stabaho187, long, 0000000000000000
offgore::t0iiialuminati, long, 0000000000000000
offgore.-aj3904, long, 0000000000000000
offgore.-ajkiller31, long, 0000000000000000
offgore.-angelpink1991, long, 0000000000000000
offgore.-beardedcocaire, long, 0000000000000000
offgore.-blinkandurdead0, long, 0000000000000000
offgore.-charahc, long, 0000000000000000
offgore.-cooljayice, long, 0000000000000000
offgore.-crazymexican938, long, 0000000000000000
offgore.-dazed6977, long, 0000000000000000
offgore.-deathnerd77, long, 0000000000000000
offgore.-earthymama42, long, 0000000000000000
offgore.-gryffydd89, long, 0000000000000000
offgore.-hotashml, long, 0000000000000000
offgore.-iamfriendbesto, long, 0000000000000000
offgore.-ikkaku420235, long, 0000000000000000
offgore.-kenpachi4202357, long, 0000000000000000
offgore.-lenr0c86, long, 0000000000000000
offgore.-lily_riley_roxi, long, 0000000000000000
offgore.-lowerlevelll, long, 0000000000000000
offgore.-mc0oz, long, 0000000000000000
offgore.-miarkraim, long, 0000000000000000
offgore.-mrbrink53, long, 0000000000000000
offgore.-mrsshmeethumb, long, 0000000000000000
offgore.-mrzpriceless73, long, 0000000000000000
offgore.-natiri607, long, 0000000000000000
offgore.-netherkicks, long, 0000000000000000
offgore.-nixragnarson, long, 0000000000000000
offgore.-noobe_doobe6363, long, 0000000000000000
offgore.-ogloc_bruh, long, 0000000000000000
offgore.-parrotgirl4333, long, 0000000000000000
offgore.-pnnicolas, long, 0000000000000000
offgore.-rainbowowl88378, long, 0000000000000000
offgore.-sfn2048, long, 0000000000000000
offgore.-shadowgiver902, long, 0000000000000000
offgore.-shmeethumb, long, 0000000000000000
offgore.-shyp4nd4, long, 0000000000000000
offgore.-sierralovesyou2, long, 0000000000000000
offgore.-stabaho187, long, 0000000000000000
offgore.-steverm9403, long, 0000000000000000
offgore.-stillnym1988517, long, 0000000000000000
offgore.-turningcupid, long, 0000000000000000
offgore.-vampires_heart6, long, 0000000000000000
offgore.-vcloutphobia, long, 0000000000000000
offgore.-wildernesboy, long, 0000000000000000
offgore.-xxtroy90xx, long, 0000000000000000
offgore._simplysav, long, 0000000000000000
offgore.alexzaza, long, 0000000000000000
offgore.amin_nasir91, long, 0000000000000000
offgore.athwee, long, 0000000000000000
offgore.bigbeast89, long, 0000000000000000
offgore.biglittleben, long, 0000000000000000
offgore.black00widow, long, 0000000000000000
offgore.blackcats96, long, 0000000000000000
offgore.boopydoopy2350, long, 0000000000000000
offgore.certizz, long, 0000000000000000
offgore.doddy06, long, 0000000000000000
offgore.ecgredneck, long, 0000000000000000
offgore.eclipsemc420, long, 0000000000000000
offgore.find_wicked, long, 0000000000000000
offgore.gamingzation, long, 0000000000000000
offgore.haile160, long, 0000000000000000
offgore.hathorill, long, 0000000000000000
offgore.johnheikens, long, 0000000000000000
offgore.kingkaitertot, long, 0000000000000000
offgore.laizer101, long, 0000000000000000
offgore.maddogselite1, long, 0000000000000000
offgore.monaxide, long, 0000000000000000
offgore.mr_matthews, long, 0000000000000000
offgore.mrzpricey73, long, 0000000000000000
offgore.mun_cheez, long, 0000000000000000
offgore.muribaka89, long, 0000000000000000
offgore.papi_grande2214, long, 0000000000000000
offgore.radmobilegaming, long, 0000000000000000
offgore.rageofheaven, long, 0000000000000000
offgore.shadowy__duckie, long, 0000000000000000
offgore.spenceronline, long, 0000000000000000
offgore.squishiedragon, long, 0000000000000000
offgore.stabaho187, long, 0000000000000000
offgore.swagdaddy278, long, 0000000000000000
offgore.t0iiialuminati, long, 0000000000000000
offgore.turtleduck840, long, 0000000000000000
offgore.turtlegaming840, long, 0000000000000000
offgore.tyler882d1, long, 0000000000000000
offgore.xxtroy_90xx, long, 0000000000000000
offgore.yeetthedirtblok, long, 0000000000000000
offiore::-ikkaku420235, long, 0000000000000000
offiore::-stabaho187, long, 0000000000000000
offiore::-turningcupid, long, 0000000000000000
offiore::black00widow, long, 0000000000000000
offiore::blackcats96, long, 0000000000000000
offiore::boopydoopy2350, long, 0000000000000000
offiore::kingkaitertot, long, 0000000000000000
offiore::muribaka89, long, 0000000000000000
offiore::papi_grande2214, long, 0000000000000000
offiore::radmobilegaming, long, 0000000000000000
offiore::stabaho187, long, 0000000000000000
offiore::t0iiialuminati, long, 0000000000000000
offiore.-aj3904, long, 0000000000000000
offiore.-ajkiller31, long, 0000000000000000
offiore.-angelpink1991, long, 0000000000000000
offiore.-beardedcocaire, long, 0000000000000000
offiore.-blinkandurdead0, long, 0000000000000000
offiore.-charahc, long, 0000000000000000
offiore.-cooljayice, long, 0000000000000000
offiore.-crazymexican938, long, 0000000000000000
offiore.-dazed6977, long, 0000000000000000
offiore.-deathnerd77, long, 0000000000000000
offiore.-earthymama42, long, 0000000000000000
offiore.-gryffydd89, long, 0000000000000000
offiore.-hotashml, long, 0000000000000000
offiore.-iamfriendbesto, long, 0000000000000000
offiore.-ikkaku420235, long, 0000000000000000
offiore.-kenpachi4202357, long, 0000000000000000
offiore.-lenr0c86, long, 0000000000000000
offiore.-lily_riley_roxi, long, 0000000000000000
offiore.-lowerlevelll, long, 0000000000000000
offiore.-mc0oz, long, 0000000000000000
offiore.-miarkraim, long, 0000000000000000
offiore.-mrbrink53, long, 0000000000000000
offiore.-mrsshmeethumb, long, 0000000000000000
offiore.-mrzpriceless73, long, 0000000000000000
offiore.-natiri607, long, 0000000000000000
offiore.-netherkicks, long, 0000000000000000
offiore.-nixragnarson, long, 0000000000000000
offiore.-noobe_doobe6363, long, 0000000000000000
offiore.-ogloc_bruh, long, 0000000000000000
offiore.-parrotgirl4333, long, 0000000000000000
offiore.-pnnicolas, long, 0000000000000000
offiore.-rainbowowl88378, long, 0000000000000000
offiore.-sfn2048, long, 0000000000000000
offiore.-shadowgiver902, long, 0000000000000000
offiore.-shmeethumb, long, 0000000000000000
offiore.-shyp4nd4, long, 0000000000000000
offiore.-sierralovesyou2, long, 0000000000000000
offiore.-stabaho187, long, 0000000000000000
offiore.-steverm9403, long, 0000000000000000
offiore.-stillnym1988517, long, 0000000000000000
offiore.-turningcupid, long, 0000000000000000
offiore.-vampires_heart6, long, 0000000000000000
offiore.-vcloutphobia, long, 0000000000000000
offiore.-wildernesboy, long, 0000000000000000
offiore.-xxtroy90xx, long, 0000000000000000
offiore._simplysav, long, 0000000000000000
offiore.alexzaza, long, 0000000000000000
offiore.amin_nasir91, long, 0000000000000000
offiore.athwee, long, 0000000000000000
offiore.bigbeast89, long, 0000000000000000
offiore.biglittleben, long, 0000000000000000
offiore.black00widow, long, 0000000000000000
offiore.blackcats96, long, 0000000000000000
offiore.boopydoopy2350, long, 0000000000000000
offiore.certizz, long, 0000000000000000
offiore.doddy06, long, 0000000000000000
offiore.ecgredneck, long, 0000000000000000
offiore.eclipsemc420, long, 0000000000000000
offiore.find_wicked, long, 0000000000000000
offiore.gamingzation, long, 0000000000000000
offiore.haile160, long, 0000000000000000
offiore.hathorill, long, 0000000000000000
offiore.johnheikens, long, 0000000000000000
offiore.kingkaitertot, long, 0000000000000000
offiore.laizer101, long, 0000000000000000
offiore.maddogselite1, long, 0000000000000000
offiore.monaxide, long, 0000000000000000
offiore.mr_matthews, long, 0000000000000000
offiore.mrzpricey73, long, 0000000000000000
offiore.mun_cheez, long, 0000000000000000
offiore.muribaka89, long, 0000000000000000
offiore.papi_grande2214, long, 0000000000000000
offiore.radmobilegaming, long, 0000000000000000
offiore.rageofheaven, long, 0000000000000000
offiore.shadowy__duckie, long, 0000000000000000
offiore.spenceronline, long, 0000000000000000
offiore.squishiedragon, long, 0000000000000000
offiore.stabaho187, long, 0000000000000000
offiore.swagdaddy278, long, 0000000000000000
offiore.t0iiialuminati, long, 0000000000000000
offiore.turtleduck840, long, 0000000000000000
offiore.turtlegaming840, long, 0000000000000000
offiore.tyler882d1, long, 0000000000000000
offiore.xxtroy_90xx, long, 0000000000000000
offiore.yeetthedirtblok, long, 0000000000000000
offnore::-ikkaku420235, long, 0000000000000000
offnore::-stabaho187, long, 0000000000000000
offnore::-turningcupid, long, 0000000000000000
offnore::black00widow, long, 0000000000000000
offnore::blackcats96, long, 0000000000000000
offnore::boopydoopy2350, long, 0000000000000000
offnore::kingkaitertot, long, 0000000000000000
offnore::muribaka89, long, 0000000000000000
offnore::papi_grande2214, long, 0000000000000000
offnore::radmobilegaming, long, 0000000000000000
offnore::stabaho187, long, 0000000000000000
offnore::t0iiialuminati, long, 0000000000000000
offnore.-aj3904, long, 0000000000000000
offnore.-ajkiller31, long, 0000000000000000
offnore.-angelpink1991, long, 0000000000000000
offnore.-beardedcocaire, long, 0000000000000000
offnore.-blinkandurdead0, long, 0000000000000000
offnore.-charahc, long, 0000000000000000
offnore.-cooljayice, long, 0000000000000000
offnore.-crazymexican938, long, 0000000000000000
offnore.-dazed6977, long, 0000000000000000
offnore.-deathnerd77, long, 0000000000000000
offnore.-earthymama42, long, 0000000000000000
offnore.-gryffydd89, long, 0000000000000000
offnore.-hotashml, long, 0000000000000000
offnore.-iamfriendbesto, long, 0000000000000000
offnore.-ikkaku420235, long, 0000000000000000
offnore.-kenpachi4202357, long, 0000000000000000
offnore.-lenr0c86, long, 0000000000000000
offnore.-lily_riley_roxi, long, 0000000000000000
offnore.-lowerlevelll, long, 0000000000000000
offnore.-mc0oz, long, 0000000000000000
offnore.-miarkraim, long, 0000000000000000
offnore.-mrbrink53, long, 0000000000000000
offnore.-mrsshmeethumb, long, 0000000000000000
offnore.-mrzpriceless73, long, 0000000000000000
offnore.-natiri607, long, 0000000000000000
offnore.-netherkicks, long, 0000000000000000
offnore.-nixragnarson, long, 0000000000000000
offnore.-noobe_doobe6363, long, 0000000000000000
offnore.-ogloc_bruh, long, 0000000000000000
offnore.-parrotgirl4333, long, 0000000000000000
offnore.-pnnicolas, long, 0000000000000000
offnore.-rainbowowl88378, long, 0000000000000000
offnore.-sfn2048, long, 0000000000000000
offnore.-shadowgiver902, long, 0000000000000000
offnore.-shmeethumb, long, 0000000000000000
offnore.-shyp4nd4, long, 0000000000000000
offnore.-sierralovesyou2, long, 0000000000000000
offnore.-stabaho187, long, 0000000000000000
offnore.-steverm9403, long, 0000000000000000
offnore.-stillnym1988517, long, 0000000000000000
offnore.-turningcupid, long, 0000000000000000
offnore.-vampires_heart6, long, 0000000000000000
offnore.-vcloutphobia, long, 0000000000000000
offnore.-wildernesboy, long, 0000000000000000
offnore.-xxtroy90xx, long, 0000000000000000
offnore._simplysav, long, 0000000000000000
offnore.alexzaza, long, 0000000000000000
offnore.amin_nasir91, long, 0000000000000000
offnore.athwee, long, 0000000000000000
offnore.bigbeast89, long, 0000000000000000
offnore.biglittleben, long, 0000000000000000
offnore.black00widow, long, 0000000000000000
offnore.blackcats96, long, 0000000000000000
offnore.boopydoopy2350, long, 0000000000000000
offnore.certizz, long, 0000000000000000
offnore.doddy06, long, 0000000000000000
offnore.ecgredneck, long, 0000000000000000
offnore.eclipsemc420, long, 0000000000000000
offnore.find_wicked, long, 0000000000000000
offnore.gamingzation, long, 0000000000000000
offnore.haile160, long, 0000000000000000
offnore.hathorill, long, 0000000000000000
offnore.johnheikens, long, 0000000000000000
offnore.kingkaitertot, long, 0000000000000000
offnore.laizer101, long, 0000000000000000
offnore.maddogselite1, long, 0000000000000000
offnore.monaxide, long, 0000000000000000
offnore.mr_matthews, long, 0000000000000000
offnore.mrzpricey73, long, 0000000000000000
offnore.mun_cheez, long, 0000000000000000
offnore.muribaka89, long, 0000000000000000
offnore.papi_grande2214, long, 0000000000000000
offnore.radmobilegaming, long, 0000000000000000
offnore.rageofheaven, long, 0000000000000000
offnore.shadowy__duckie, long, 0000000000000000
offnore.spenceronline, long, 0000000000000000
offnore.squishiedragon, long, 0000000000000000
offnore.stabaho187, long, 0000000000000000
offnore.swagdaddy278, long, 0000000000000000
offnore.t0iiialuminati, long, 0000000000000000
offnore.turtleduck840, long, 0000000000000000
offnore.turtlegaming840, long, 0000000000000000
offnore.tyler882d1, long, 0000000000000000
offnore.xxtroy_90xx, long, 0000000000000000
offnore.yeetthedirtblok, long, 0000000000000000
orealerts.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
redstone_amount_mined_in_x_sec, long, 0000000000000010
rore.-aj3904, long, 0000000000000000
rore.-ajkiller31, long, 0000000000000000
rore.-angelpink1991, long, 0000000000000000
rore.-beardedcocaire, long, 0000000000000000
rore.-blinkandurdead0, long, 0000000000000000
rore.-charahc, long, 0000000000000000
rore.-cooljayice, long, 0000000000000000
rore.-crazymexican938, long, 0000000000000000
rore.-dazed6977, long, 0000000000000000
rore.-deathnerd77, long, 0000000000000000
rore.-earthymama42, long, 0000000000000000
rore.-gryffydd89, long, 0000000000000000
rore.-hotashml, long, 0000000000000000
rore.-iamfriendbesto, long, 0000000000000000
rore.-ikkaku420235, long, 0000000000000000
rore.-kenpachi4202357, long, 0000000000000000
rore.-lenr0c86, long, 0000000000000000
rore.-lily_riley_roxi, long, 0000000000000000
rore.-lowerlevelll, long, 0000000000000000
rore.-mc0oz, long, 0000000000000000
rore.-miarkraim, long, 0000000000000000
rore.-mrbrink53, long, 0000000000000000
rore.-mrsshmeethumb, long, 0000000000000000
rore.-mrzpriceless73, long, 0000000000000000
rore.-natiri607, long, 0000000000000000
rore.-netherkicks, long, 0000000000000000
rore.-nixragnarson, long, 0000000000000000
rore.-noobe_doobe6363, long, 0000000000000000
rore.-ogloc_bruh, long, 0000000000000000
rore.-parrotgirl4333, long, 0000000000000000
rore.-pnnicolas, long, 0000000000000000
rore.-rainbowowl88378, long, 0000000000000000
rore.-sfn2048, long, 0000000000000000
rore.-shadowgiver902, long, 0000000000000000
rore.-shmeethumb, long, 0000000000000000
rore.-shyp4nd4, long, 0000000000000000
rore.-sierralovesyou2, long, 0000000000000000
rore.-stabaho187, long, 0000000000000000
rore.-steverm9403, long, 0000000000000000
rore.-stillnym1988517, long, 0000000000000000
rore.-turningcupid, long, 0000000000000000
rore.-vampires_heart6, long, 0000000000000000
rore.-vcloutphobia, long, 0000000000000000
rore.-wildernesboy, long, 0000000000000000
rore.-xxtroy90xx, long, 0000000000000000
rore._simplysav, long, 0000000000000000
rore.alexzaza, long, 0000000000000000
rore.amin_nasir91, long, 0000000000000000
rore.athwee, long, 0000000000000000
rore.bigbeast89, long, 0000000000000000
rore.biglittleben, long, 0000000000000000
rore.black00widow, long, 0000000000000000
rore.blackcats96, long, 0000000000000000
rore.boopydoopy2350, long, 0000000000000000
rore.certizz, long, 0000000000000000
rore.doddy06, long, 0000000000000000
rore.ecgredneck, long, 0000000000000000
rore.eclipsemc420, long, 0000000000000000
rore.find_wicked, long, 0000000000000000
rore.gamingzation, long, 0000000000000000
rore.haile160, long, 0000000000000000
rore.hathorill, long, 0000000000000000
rore.johnheikens, long, 0000000000000000
rore.kingkaitertot, long, 0000000000000000
rore.laizer101, long, 0000000000000000
rore.maddogselite1, long, 0000000000000000
rore.monaxide, long, 0000000000000000
rore.mr_matthews, long, 0000000000000000
rore.mrzpricey73, long, 0000000000000000
rore.mun_cheez, long, 0000000000000000
rore.muribaka89, long, 0000000000000000
rore.papi_grande2214, long, 0000000000000000
rore.radmobilegaming, long, 0000000000000000
rore.rageofheaven, long, 0000000000000000
rore.shadowy__duckie, long, 0000000000000000
rore.spenceronline, long, 0000000000000000
rore.squishiedragon, long, 0000000000000000
rore.stabaho187, long, 0000000000000000
rore.swagdaddy278, long, 0000000000000000
rore.t0iiialuminati, long, 0000000000000000
rore.turtleduck840, long, 0000000000000000
rore.turtlegaming840, long, 0000000000000000
rore.tyler882d1, long, 0000000000000000
rore.xxtroy_90xx, long, 0000000000000000
rore.yeetthedirtblok, long, 0000000000000000
timer, long, 000000000000001E

